OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,incl,central,0,0.0,2.5,20,1000,0,1,0.805528+0.000615416*x+-2.53044e-07*x*x+5.59667/x
L,incl,down,0,0.0,2.5,20,1000,0,1,(0.805528+0.000615416*x+-2.53044e-07*x*x+5.59667/x)*(1-(0.0654792+8.70483e-06*x+-1.77752e-08*x*x))
L,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(0.805528+0.000615416*x+-2.53044e-07*x*x+5.59667/x)*(1-(0.0386621+2.11899e-05*x+-3.47609e-08*x*x))
L,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(0.805528+0.000615416*x+-2.53044e-07*x*x+5.59667/x)*(1-(0.0516565))
L,incl,up,0,0.0,2.5,20,1000,0,1,(0.805528+0.000615416*x+-2.53044e-07*x*x+5.59667/x)*(1+(0.0654792+8.70483e-06*x+-1.77752e-08*x*x))
L,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(0.805528+0.000615416*x+-2.53044e-07*x*x+5.59667/x)*(1+(0.0386621+2.11899e-05*x+-3.47609e-08*x*x))
L,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(0.805528+0.000615416*x+-2.53044e-07*x*x+5.59667/x)*(1+(0.0516565))
M,incl,central,0,0.0,2.5,20,1000,0,1,0.853233+0.000563135*x+-2.76125e-08*x*x+5.54572/x
M,incl,down,0,0.0,2.5,20,1000,0,1,(0.853233+0.000563135*x+-2.76125e-08*x*x+5.54572/x)*(1-(0.105797+0.000114529*x+-1.25553e-07*x*x))
M,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(0.853233+0.000563135*x+-2.76125e-08*x*x+5.54572/x)*(1-(0.08884+0.000132536*x+-1.45087e-07*x*x))
M,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(0.853233+0.000563135*x+-2.76125e-08*x*x+5.54572/x)*(1-(0.0576777))
M,incl,up,0,0.0,2.5,20,1000,0,1,(0.853233+0.000563135*x+-2.76125e-08*x*x+5.54572/x)*(1+(0.105797+0.000114529*x+-1.25553e-07*x*x))
M,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(0.853233+0.000563135*x+-2.76125e-08*x*x+5.54572/x)*(1+(0.08884+0.000132536*x+-1.45087e-07*x*x))
M,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(0.853233+0.000563135*x+-2.76125e-08*x*x+5.54572/x)*(1+(0.0576777))
T,incl,central,0,0.0,2.5,20,1000,0,1,0.992643+172.254/(x*x)+0.000548757*x
