OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,incl,central,0,0.0,2.5,20,1000,0,1,1.23997+0.000107353*x+-2.19685e-08*x*x+-1.13456/x
L,incl,down,0,0.0,2.5,20,1000,0,1,(1.23997+0.000107353*x+-2.19685e-08*x*x+-1.13456/x)*(1-(0.0451677+2.39201e-05*x+-4.10386e-08*x*x))
L,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(1.23997+0.000107353*x+-2.19685e-08*x*x+-1.13456/x)*(1-(0.0420152+2.58839e-05*x+-4.43369e-08*x*x))
L,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.23997+0.000107353*x+-2.19685e-08*x*x+-1.13456/x)*(1-(0.0165515))
L,incl,up,0,0.0,2.5,20,1000,0,1,(1.23997+0.000107353*x+-2.19685e-08*x*x+-1.13456/x)*(1+(0.0451677+2.39201e-05*x+-4.10386e-08*x*x))
L,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(1.23997+0.000107353*x+-2.19685e-08*x*x+-1.13456/x)*(1+(0.0420152+2.58839e-05*x+-4.43369e-08*x*x))
L,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.23997+0.000107353*x+-2.19685e-08*x*x+-1.13456/x)*(1+(0.0165515))
M,incl,central,0,0.0,2.5,20,1000,0,1,1.33721+0.000176432*x+7.54537e-08*x*x+2.37482/x
M,incl,down,0,0.0,2.5,20,1000,0,1,(1.33721+0.000176432*x+7.54537e-08*x*x+2.37482/x)*(1-(0.105199+0.000131959*x+-1.54288e-07*x*x))
M,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(1.33721+0.000176432*x+7.54537e-08*x*x+2.37482/x)*(1-(0.0927762+0.000145288*x+-1.70096e-07*x*x))
M,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.33721+0.000176432*x+7.54537e-08*x*x+2.37482/x)*(1-(0.0506008))
M,incl,up,0,0.0,2.5,20,1000,0,1,(1.33721+0.000176432*x+7.54537e-08*x*x+2.37482/x)*(1+(0.105199+0.000131959*x+-1.54288e-07*x*x))
M,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(1.33721+0.000176432*x+7.54537e-08*x*x+2.37482/x)*(1+(0.0927762+0.000145288*x+-1.70096e-07*x*x))
M,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.33721+0.000176432*x+7.54537e-08*x*x+2.37482/x)*(1+(0.0506008))
T,incl,central,0,0.0,2.5,20,1000,0,1,1.46004+212.125/(x*x)+0.000213896*x
T,incl,down,0,0.0,2.5,20,1000,0,1,(1.46004+212.125/(x*x)+0.000213896*x)*(1-(0.198014+0.000113797*x+-1.20831e-07*x*x))
