OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,incl,central,2,0.0,2.5,20,1000,0,1,"1.23997+0.000107353*x+-2.19685e-08*x*x+-1.13456/x"
0,incl,down,2,0.0,2.5,20,1000,0,1,"(1.23997+0.000107353*x+-2.19685e-08*x*x+-1.13456/x)*(1-(0.0451677+2.39201e-05*x+-4.10386e-08*x*x))"
0,incl,down_correlated,2,0.0,2.5,20,1000,0,1,"(1.23997+0.000107353*x+-2.19685e-08*x*x+-1.13456/x)*(1-(0.0420152+2.58839e-05*x+-4.43369e-08*x*x))"
0,incl,down_uncorrelated,2,0.0,2.5,20,1000,0,1,"(1.23997+0.000107353*x+-2.19685e-08*x*x+-1.13456/x)*(1-(0.0165515))"
0,incl,up,2,0.0,2.5,20,1000,0,1,"(1.23997+0.000107353*x+-2.19685e-08*x*x+-1.13456/x)*(1+(0.0451677+2.39201e-05*x+-4.10386e-08*x*x))"
0,incl,up_correlated,2,0.0,2.5,20,1000,0,1,"(1.23997+0.000107353*x+-2.19685e-08*x*x+-1.13456/x)*(1+(0.0420152+2.58839e-05*x+-4.43369e-08*x*x))"
0,incl,up_uncorrelated,2,0.0,2.5,20,1000,0,1,"(1.23997+0.000107353*x+-2.19685e-08*x*x+-1.13456/x)*(1+(0.0165515))"
1,incl,central,2,0.0,2.5,20,1000,0,1,"1.33721+0.000176432*x+7.54537e-08*x*x+2.37482/x"
1,incl,down,2,0.0,2.5,20,1000,0,1,"(1.33721+0.000176432*x+7.54537e-08*x*x+2.37482/x)*(1-(0.105199+0.000131959*x+-1.54288e-07*x*x))"
1,incl,down_correlated,2,0.0,2.5,20,1000,0,1,"(1.33721+0.000176432*x+7.54537e-08*x*x+2.37482/x)*(1-(0.0927762+0.000145288*x+-1.70096e-07*x*x))"
1,incl,down_uncorrelated,2,0.0,2.5,20,1000,0,1,"(1.33721+0.000176432*x+7.54537e-08*x*x+2.37482/x)*(1-(0.0506008))"
1,incl,up,2,0.0,2.5,20,1000,0,1,"(1.33721+0.000176432*x+7.54537e-08*x*x+2.37482/x)*(1+(0.105199+0.000131959*x+-1.54288e-07*x*x))"
1,incl,up_correlated,2,0.0,2.5,20,1000,0,1,"(1.33721+0.000176432*x+7.54537e-08*x*x+2.37482/x)*(1+(0.0927762+0.000145288*x+-1.70096e-07*x*x))"
1,incl,up_uncorrelated,2,0.0,2.5,20,1000,0,1,"(1.33721+0.000176432*x+7.54537e-08*x*x+2.37482/x)*(1+(0.0506008))"
2,incl,central,2,0.0,2.5,20,1000,0,1,"1.46004+212.125/(x*x)+0.000213896*x"
2,incl,down,2,0.0,2.5,20,1000,0,1,"(1.46004+212.125/(x*x)+0.000213896*x)*(1-(0.198014+0.000113797*x+-1.20831e-07*x*x))"
2,incl,down_correlated,2,0.0,2.5,20,1000,0,1,"(1.46004+212.125/(x*x)+0.000213896*x)*(1-(0.17297+0.00011942*x+-1.35081e-07*x*x))"
2,incl,down_uncorrelated,2,0.0,2.5,20,1000,0,1,"(1.46004+212.125/(x*x)+0.000213896*x)*(1-(0.106042))"
2,incl,up,2,0.0,2.5,20,1000,0,1,"(1.46004+212.125/(x*x)+0.000213896*x)*(1+(0.198014+0.000113797*x+-1.20831e-07*x*x))"
2,incl,up_correlated,2,0.0,2.5,20,1000,0,1,"(1.46004+212.125/(x*x)+0.000213896*x)*(1+(0.17297+0.00011942*x+-1.35081e-07*x*x))"
2,incl,up_uncorrelated,2,0.0,2.5,20,1000,0,1,"(1.46004+212.125/(x*x)+0.000213896*x)*(1+(0.106042))"
0,comb,central,1,0.0,2.5,20,1000,0,1,"0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)"
0,comb,central,0,0.0,2.5,20,1000,0,1,"0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)"
0,comb,down,1,0.0,2.5,20,30,0,1,"0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.043549790978431702"
0,comb,down,1,0.0,2.5,30,50,0,1,"0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.020223654806613922"
0,comb,down,1,0.0,2.5,50,70,0,1,"0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.023361712694168091"
0,comb,down,1,0.0,2.5,70,100,0,1,"0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.024624831974506378"
0,comb,down,1,0.0,2.5,100,140,0,1,"0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.02425885945558548"
0,comb,down,1,0.0,2.5,140,200,0,1,"0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.024677451699972153"
0,comb,down,1,0.0,2.5,200,300,0,1,"0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.071031235158443451"
0,comb,down,1,0.0,2.5,300,600,0,1,"0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.14036135375499725"
0,comb,down,1,0.0,2.5,600,1000,0,1,"0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.16106221079826355"
0,comb,down,0,0.0,2.5,20,30,0,1,"0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.017419915646314621"
0,comb,down,0,0.0,2.5,30,50,0,1,"0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.0080894622951745987"
0,comb,down,0,0.0,2.5,50,70,0,1,"0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.0093446848914027214"
