DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.947762+(0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18))))))" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.947762+(0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18))))))" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.947762+((0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18))))))-0.06456591933965683)" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.947762+((0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18))))))-0.020584776997566223)" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.947762+((0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18))))))-0.029478184878826141)" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.947762+((0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18))))))-0.033261951059103012)" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.947762+((0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18))))))-0.025720816105604172)" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.947762+((0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18))))))-0.02822989784181118)" 
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.947762+((0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18))))))-0.13103121519088745)" 
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.947762+((0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18))))))-0.14610530436038971)" 
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.947762+((0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18))))))-0.19927681982517242)" 
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "0.947762+((0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18))))))-0.025826368480920792)" 
0, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "0.947762+((0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18))))))-0.0082339104264974594)" 
0, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "0.947762+((0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18))))))-0.011791273951530457)" 
0, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "0.947762+((0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18))))))-0.01330478023737669)" 
0, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "0.947762+((0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18))))))-0.010288326069712639)" 
0, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "0.947762+((0.000950836*(log(x+19)*(log(x+18)*(3-(0.26089*log(x+18))))))-0.011291959322988987)" 
