DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "0.944549*((1.+(0.0094161*x))/(1.+(0.00853295*x)))" 
0, mujets, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "0.944549*((1.+(0.0094161*x))/(1.+(0.00853295*x)))" 
0, mujets, down, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.944549*((1.+(0.0094161*x))/(1.+(0.00853295*x))))-0.05210084468126297" 
0, mujets, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.944549*((1.+(0.0094161*x))/(1.+(0.00853295*x))))-0.030393190681934357" 
0, mujets, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.944549*((1.+(0.0094161*x))/(1.+(0.00853295*x))))-0.033933129161596298" 
0, mujets, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.944549*((1.+(0.0094161*x))/(1.+(0.00853295*x))))-0.032112229615449905" 
0, mujets, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.944549*((1.+(0.0094161*x))/(1.+(0.00853295*x))))-0.032719358801841736" 
0, mujets, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.944549*((1.+(0.0094161*x))/(1.+(0.00853295*x))))-0.030336670577526093" 
0, mujets, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.944549*((1.+(0.0094161*x))/(1.+(0.00853295*x))))-0.049079995602369308" 
0, mujets, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.944549*((1.+(0.0094161*x))/(1.+(0.00853295*x))))-0.050249915570020676" 
0, mujets, down, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.944549*((1.+(0.0094161*x))/(1.+(0.00853295*x))))-0.069429211318492889" 
0, mujets, down, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.944549*((1.+(0.0094161*x))/(1.+(0.00853295*x))))-0.020840337499976158" 
0, mujets, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.944549*((1.+(0.0094161*x))/(1.+(0.00853295*x))))-0.012157276272773743" 
