OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,incl,central,2,0.0,2.5,20.0,1000.0,0.0,1.0,"1.02103+0.00020673*x+-1.37579e-07*x*x+5.45282/x "
0,incl,down,2,0.0,2.5,20.0,1000.0,0.0,1.0,"(1.02103+0.00020673*x+-1.37579e-07*x*x+5.45282/x)*(1-(0.0521603+2.83526e-05*x+-4.35156e-08*x*x)) "
0,incl,down_correlated,2,0.0,2.5,20.0,1000.0,0.0,1.0,"(1.02103+0.00020673*x+-1.37579e-07*x*x+5.45282/x)*(1-(0.039047+3.3822e-05*x+-5.45325e-08*x*x)) "
0,incl,down_uncorrelated,2,0.0,2.5,20.0,1000.0,0.0,1.0,"(1.02103+0.00020673*x+-1.37579e-07*x*x+5.45282/x)*(1-(0.0352221)) "
0,incl,up,2,0.0,2.5,20.0,1000.0,0.0,1.0,"(1.02103+0.00020673*x+-1.37579e-07*x*x+5.45282/x)*(1+(0.0521603+2.83526e-05*x+-4.35156e-08*x*x)) "
0,incl,up_correlated,2,0.0,2.5,20.0,1000.0,0.0,1.0,"(1.02103+0.00020673*x+-1.37579e-07*x*x+5.45282/x)*(1+(0.039047+3.3822e-05*x+-5.45325e-08*x*x)) "
0,incl,up_uncorrelated,2,0.0,2.5,20.0,1000.0,0.0,1.0,"(1.02103+0.00020673*x+-1.37579e-07*x*x+5.45282/x)*(1+(0.0352221)) "
1,incl,central,2,0.0,2.5,20.0,1000.0,0.0,1.0,"1.09411+-0.000277731*x+2.47948e-07*x*x+-0.65943/x "
1,incl,down,2,0.0,2.5,20.0,1000.0,0.0,1.0,"(1.09411+-0.000277731*x+2.47948e-07*x*x+-0.65943/x)*(1-(0.079916+0.000250233*x+-2.41117e-07*x*x)) "
1,incl,down_correlated,2,0.0,2.5,20.0,1000.0,0.0,1.0,"(1.09411+-0.000277731*x+2.47948e-07*x*x+-0.65943/x)*(1-(0.0587632+0.000292662*x+-2.82585e-07*x*x)) "
1,incl,down_uncorrelated,2,0.0,2.5,20.0,1000.0,0.0,1.0,"(1.09411+-0.000277731*x+2.47948e-07*x*x+-0.65943/x)*(1-(0.0572327)) "
1,incl,up,2,0.0,2.5,20.0,1000.0,0.0,1.0,"(1.09411+-0.000277731*x+2.47948e-07*x*x+-0.65943/x)*(1+(0.079916+0.000250233*x+-2.41117e-07*x*x)) "
1,incl,up_correlated,2,0.0,2.5,20.0,1000.0,0.0,1.0,"(1.09411+-0.000277731*x+2.47948e-07*x*x+-0.65943/x)*(1+(0.0587632+0.000292662*x+-2.82585e-07*x*x)) "
1,incl,up_uncorrelated,2,0.0,2.5,20.0,1000.0,0.0,1.0,"(1.09411+-0.000277731*x+2.47948e-07*x*x+-0.65943/x)*(1+(0.0572327)) "
2,incl,central,2,0.0,2.5,20.0,1000.0,0.0,1.0,"0.817821+1.44089/sqrt(x) "
2,incl,down,2,0.0,2.5,20.0,1000.0,0.0,1.0,"(0.817821+1.44089/sqrt(x))*(1-(0.161526+0.000272842*x+-2.42585e-07*x*x)) "
2,incl,down_correlated,2,0.0,2.5,20.0,1000.0,0.0,1.0,"(0.817821+1.44089/sqrt(x))*(1-(0.126369+0.000311823*x+-2.7988e-07*x*x)) "
2,incl,down_uncorrelated,2,0.0,2.5,20.0,1000.0,0.0,1.0,"(0.817821+1.44089/sqrt(x))*(1-(0.108788)) "
2,incl,up,2,0.0,2.5,20.0,1000.0,0.0,1.0,"(0.817821+1.44089/sqrt(x))*(1+(0.161526+0.000272842*x+-2.42585e-07*x*x)) "
2,incl,up_correlated,2,0.0,2.5,20.0,1000.0,0.0,1.0,"(0.817821+1.44089/sqrt(x))*(1+(0.126369+0.000311823*x+-2.7988e-07*x*x)) "
2,incl,up_uncorrelated,2,0.0,2.5,20.0,1000.0,0.0,1.0,"(0.817821+1.44089/sqrt(x))*(1+(0.108788)) "
0,comb,central,1,0.0,2.5,20.0,1000.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18)) "
0,comb,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18)) "
0,comb,down,1,0.0,2.5,20.0,30.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.06456785649061203 "
0,comb,down,1,0.0,2.5,30.0,50.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.020591497421264648 "
0,comb,down,1,0.0,2.5,50.0,70.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.02950499951839447 "
0,comb,down,1,0.0,2.5,70.0,100.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.03330589085817337 "
0,comb,down,1,0.0,2.5,100.0,140.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.025734046474099159 "
0,comb,down,1,0.0,2.5,140.0,200.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.028235698118805885 "
0,comb,down,1,0.0,2.5,200.0,300.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.13103105127811432 "
0,comb,down,1,0.0,2.5,300.0,600.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.14610058069229126 "
0,comb,down,1,0.0,2.5,600.0,1000.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.19925080239772797 "
0,comb,down,0,0.0,2.5,20.0,30.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.025827141478657722 "
0,comb,down,0,0.0,2.5,30.0,50.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.0082365991547703743 "
0,comb,down,0,0.0,2.5,50.0,70.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.011801999993622303 "
0,comb,down,0,0.0,2.5,70.0,100.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.013322356157004833 "
0,comb,down,0,0.0,2.5,100.0,140.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.010293618775904179 "
0,comb,down,0,0.0,2.5,140.0,200.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.011294279247522354 "
0,comb,down,0,0.0,2.5,200.0,300.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.052412420511245728 "
0,comb,down,0,0.0,2.5,300.0,600.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.058440234512090683 "
0,comb,down,0,0.0,2.5,600.0,1000.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.079700320959091187 "
0,comb,down_correlated,1,0.0,2.5,100.0,140.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.00697790957094 "
0,comb,down_correlated,1,0.0,2.5,70.0,100.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.017363921222 "
0,comb,down_correlated,1,0.0,2.5,200.0,300.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.108789320398 "
0,comb,down_correlated,1,0.0,2.5,300.0,600.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.122529448147 "
0,comb,down_correlated,1,0.0,2.5,140.0,200.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.00734846256959 "
0,comb,down_correlated,1,0.0,2.5,50.0,70.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.0227284610153 "
0,comb,down_correlated,1,0.0,2.5,20.0,30.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.0557487367307 "
0,comb,down_correlated,1,0.0,2.5,600.0,1000.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.0941863129046 "
0,comb,down_correlated,1,0.0,2.5,30.0,50.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.0170814708482 "
0,comb,down_correlated,0,0.0,2.5,100.0,140.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.00279116385261 "
0,comb,down_correlated,0,0.0,2.5,70.0,100.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.00694556843746 "
0,comb,down_correlated,0,0.0,2.5,200.0,300.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.0435157279877 "
0,comb,down_correlated,0,0.0,2.5,300.0,600.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.049011781447 "
0,comb,down_correlated,0,0.0,2.5,140.0,200.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.00293938433789 "
0,comb,down_correlated,0,0.0,2.5,50.0,70.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.00909138456969 "
0,comb,down_correlated,0,0.0,2.5,20.0,30.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.0222994934054 "
0,comb,down_correlated,0,0.0,2.5,600.0,1000.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.037674519624 "
0,comb,down_correlated,0,0.0,2.5,30.0,50.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.00683258856187 "
0,comb,down_uncorrelated,1,0.0,2.5,100.0,140.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.0247699399666 "
0,comb,down_uncorrelated,1,0.0,2.5,70.0,100.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.0284214110426 "
0,comb,down_uncorrelated,1,0.0,2.5,200.0,300.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.0730343766066 "
0,comb,down_uncorrelated,1,0.0,2.5,300.0,600.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.0795733247731 "
0,comb,down_uncorrelated,1,0.0,2.5,140.0,200.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.0272626988048 "
0,comb,down_uncorrelated,1,0.0,2.5,50.0,70.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.018813879357 "
0,comb,down_uncorrelated,1,0.0,2.5,20.0,30.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.0325743218612 "
0,comb,down_uncorrelated,1,0.0,2.5,600.0,1000.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.175584226847 "
0,comb,down_uncorrelated,1,0.0,2.5,30.0,50.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.011499266051 "
0,comb,down_uncorrelated,0,0.0,2.5,100.0,140.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.00990797617334 "
0,comb,down_uncorrelated,0,0.0,2.5,70.0,100.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.0113685642301 "
0,comb,down_uncorrelated,0,0.0,2.5,200.0,300.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.0292137508982 "
0,comb,down_uncorrelated,0,0.0,2.5,300.0,600.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.0318293306436 "
0,comb,down_uncorrelated,0,0.0,2.5,140.0,200.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.0109050797079 "
0,comb,down_uncorrelated,0,0.0,2.5,50.0,70.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.00752555183727 "
0,comb,down_uncorrelated,0,0.0,2.5,20.0,30.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.0130297287317 "
0,comb,down_uncorrelated,0,0.0,2.5,600.0,1000.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.0702336937095 "
0,comb,down_uncorrelated,0,0.0,2.5,30.0,50.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))-0.00459970642331 "
0,comb,up,1,0.0,2.5,20.0,30.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))+0.06456785649061203 "
0,comb,up,1,0.0,2.5,30.0,50.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))+0.020591497421264648 "
0,comb,up,1,0.0,2.5,50.0,70.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))+0.02950499951839447 "
0,comb,up,1,0.0,2.5,70.0,100.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))+0.03330589085817337 "
0,comb,up,1,0.0,2.5,100.0,140.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))+0.025734046474099159 "
0,comb,up,1,0.0,2.5,140.0,200.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))+0.028235698118805885 "
0,comb,up,1,0.0,2.5,200.0,300.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))+0.13103105127811432 "
0,comb,up,1,0.0,2.5,300.0,600.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))+0.14610058069229126 "
0,comb,up,1,0.0,2.5,600.0,1000.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))+0.19925080239772797 "
0,comb,up,0,0.0,2.5,20.0,30.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))+0.025827141478657722 "
0,comb,up,0,0.0,2.5,30.0,50.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))+0.0082365991547703743 "
0,comb,up,0,0.0,2.5,50.0,70.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))+0.011801999993622303 "
0,comb,up,0,0.0,2.5,70.0,100.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))+0.013322356157004833 "
0,comb,up,0,0.0,2.5,100.0,140.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))+0.010293618775904179 "
0,comb,up,0,0.0,2.5,140.0,200.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))+0.011294279247522354 "
0,comb,up,0,0.0,2.5,200.0,300.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))+0.052412420511245728 "
0,comb,up,0,0.0,2.5,300.0,600.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))+0.058440234512090683 "
0,comb,up,0,0.0,2.5,600.0,1000.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))+0.079700320959091187 "
0,comb,up_correlated,1,0.0,2.5,100.0,140.0,0.0,1.0,"0.947601+0.000960685*log(x+19)*log(x+18)*(3-0.262649*log(x+18))+0.00697790957094 "
