OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula 
L,incl,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,1.17317+-1.18542e-05*x+1.58328e-08*x*x+5.08465/x 
L,incl,down,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.17317+-1.18542e-05*x+1.58328e-08*x*x+5.08465/x)*(1-(0.0475574+1.67398e-05*x+-3.51589e-08*x*x)) 
L,incl,down_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.17317+-1.18542e-05*x+1.58328e-08*x*x+5.08465/x)*(1-(0.0449941+1.70354e-05*x+-3.6835e-08*x*x)) 
L,incl,down_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.17317+-1.18542e-05*x+1.58328e-08*x*x+5.08465/x)*(1-(0.0159223)) 
L,incl,up,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.17317+-1.18542e-05*x+1.58328e-08*x*x+5.08465/x)*(1+(0.0475574+1.67398e-05*x+-3.51589e-08*x*x)) 
L,incl,up_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.17317+-1.18542e-05*x+1.58328e-08*x*x+5.08465/x)*(1+(0.0449941+1.70354e-05*x+-3.6835e-08*x*x)) 
L,incl,up_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.17317+-1.18542e-05*x+1.58328e-08*x*x+5.08465/x)*(1+(0.0159223)) 
M,incl,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,1.31108+-0.000716599*x+6.80891e-07*x*x+-0.799094/x 
M,incl,down,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.31108+-0.000716599*x+6.80891e-07*x*x+-0.799094/x)*(1-(0.0979915+0.000186439*x+-1.95192e-07*x*x)) 
M,incl,down_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.31108+-0.000716599*x+6.80891e-07*x*x+-0.799094/x)*(1-(0.0902058+0.000196217*x+-2.05669e-07*x*x)) 
M,incl,down_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.31108+-0.000716599*x+6.80891e-07*x*x+-0.799094/x)*(1-(0.0400382)) 
M,incl,up,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.31108+-0.000716599*x+6.80891e-07*x*x+-0.799094/x)*(1+(0.0979915+0.000186439*x+-1.95192e-07*x*x)) 
M,incl,up_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.31108+-0.000716599*x+6.80891e-07*x*x+-0.799094/x)*(1+(0.0902058+0.000196217*x+-2.05669e-07*x*x)) 
M,incl,up_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(1.31108+-0.000716599*x+6.80891e-07*x*x+-0.799094/x)*(1+(0.0400382)) 
T,incl,central,0,0.0,2.5,20.0,1000.0,0.0,1.0,0.952323+2.08944/sqrt(x) 
T,incl,down,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.952323+2.08944/sqrt(x))*(1-(0.192936+9.85801e-05*x+-1.75362e-08*x*x)) 
T,incl,down_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.952323+2.08944/sqrt(x))*(1-(0.185148+9.73083e-05*x+-3.07825e-08*x*x)) 
T,incl,down_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.952323+2.08944/sqrt(x))*(1-(0.0807811)) 
T,incl,up,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.952323+2.08944/sqrt(x))*(1+(0.192936+9.85801e-05*x+-1.75362e-08*x*x)) 
T,incl,up_correlated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.952323+2.08944/sqrt(x))*(1+(0.185148+9.73083e-05*x+-3.07825e-08*x*x)) 
T,incl,up_uncorrelated,0,0.0,2.5,20.0,1000.0,0.0,1.0,(0.952323+2.08944/sqrt(x))*(1+(0.0807811)) 
L,comb,central,4,0.0,2.5,20.0,1000.0,0.0,1.0,0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18)) 
L,comb,central,5,0.0,2.5,20.0,1000.0,0.0,1.0,0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18)) 
L,comb,down,4,0.0,2.5,20.0,30.0,0.0,1.0,0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.052963711321353912 
L,comb,down,4,0.0,2.5,30.0,50.0,0.0,1.0,0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.013631878420710564 
L,comb,down,4,0.0,2.5,50.0,70.0,0.0,1.0,0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.015573393553495407 
L,comb,down,4,0.0,2.5,70.0,100.0,0.0,1.0,0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.012823882512748241 
L,comb,down,4,0.0,2.5,100.0,140.0,0.0,1.0,0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.014745950698852539 
L,comb,down,4,0.0,2.5,140.0,200.0,0.0,1.0,0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.017612872645258904 
L,comb,down,4,0.0,2.5,200.0,300.0,0.0,1.0,0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.047046486288309097 
L,comb,down,4,0.0,2.5,300.0,600.0,0.0,1.0,0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.10390561819076538 
L,comb,down,4,0.0,2.5,600.0,1000.0,0.0,1.0,0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.17653711140155792 
L,comb,down,5,0.0,2.5,20.0,30.0,0.0,1.0,0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.021185483783483505 
L,comb,down,5,0.0,2.5,30.0,50.0,0.0,1.0,0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.0054527511820197105 
L,comb,down,5,0.0,2.5,50.0,70.0,0.0,1.0,0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.0062293573282659054 
L,comb,down,5,0.0,2.5,70.0,100.0,0.0,1.0,0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.0051295529119670391 
L,comb,down,5,0.0,2.5,100.0,140.0,0.0,1.0,0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.0058983801864087582 
L,comb,down,5,0.0,2.5,140.0,200.0,0.0,1.0,0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.0070451488718390465 
L,comb,down,5,0.0,2.5,200.0,300.0,0.0,1.0,0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.018818594515323639 
L,comb,down,5,0.0,2.5,300.0,600.0,0.0,1.0,0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.041562248021364212 
L,comb,down,5,0.0,2.5,600.0,1000.0,0.0,1.0,0.898225+0.00358377*log(x+19)*log(x+18)*(3-0.416504*log(x+18))-0.070614844560623169 
